nom,ville,code_postal,adresse,telephone,email,site_web,statut,date_premier_contact,date_relance,canal,notes
Vince Art Creation,Lyon,69008,320 AVENUE BERTHELOT,,,,à contacter,,,,NAF 32.13Z - SIREN 447608860 - créée 2014-09-22
Twice As Cute,Lyon,69008,B113 1 RUE XAVIER PRIVAS,,,,à contacter,,,,NAF 32.13Z - SIREN 939847281 - créée 2025-02-01
Aude Creation,Lyon,69008,90 RUE JEAN SARRAZIN,,,,à contacter,,,,NAF 32.13Z - SIREN 934680133 - créée 2024-10-26
Flora Ly Creations,Lyon,69008,15 PASSAGE DES ALOUETTES,,,,à contacter,,,,NAF 32.13Z - SIREN 891543241 - créée 2020-10-15
Idyllic Bijoux - Rita Rita,Lyon,69009,4 RUE DE LA CORDERIE,,,,à contacter,,,,NAF 32.13Z - SIREN 482465796 - créée 2011-11-26
Jpdesign,Lyon,69009,13 MONTEE DE L'OBSERVANCE,,,,à contacter,,,,NAF 32.13Z - SIREN 903600062 - créée 2021-07-01
Matisse Leroux--Eyraud (Leroux),Lyon,69009,329 RUE DOYEN GEORGES CHAPAS,,,,à contacter,,,,NAF 32.13Z - SIREN 947543401 - créée 2022-11-16
Lola Rabemananjara,Lyon,69009,10 RUE DES TUILERIES,,,,à contacter,,,,NAF 32.13Z - SIREN 983991332 - créée 2024-01-27
Puva,Lyon,69009,BAT H 220 AVENUE BARTHELEMY BUYER,,,,à contacter,,,,NAF 32.13Z - SIREN 984148262 - créée 2024-02-01
L'Atelier Tem,Lyon,69009,CHEZ MTHIERRY LENFANT 23 RUE DU BOURBONNAIS,,,,à contacter,,,,NAF 32.13Z - SIREN 992402305 - créée 2025-10-07
M De F,Lyon,69009,CENTRE D'AFFAIRES BENO TBATIMENT A 69 RUE GORGE DE LOUP,,,,à contacter,,,,NAF 32.13Z - SIREN 518036751 - créée 2011-07-01
Xibalba,Lyon,69009,BAT G 27 RUE DU BOURBONNAIS,,,,à contacter,,,,NAF 32.13Z - SIREN 752126029 - créée 2012-06-04
Odilia,Lyon,69009,13 RUE TRANSVERSALE,,,,à contacter,,,,NAF 32.13Z - SIREN 933321549 - créée 2024-09-23
Bijou Creation Leane,Lyon,69009,43 QUAI PIERRE SCIZE,,,,à contacter,,,,NAF 32.13Z - SIREN 533982237 - créée 2011-08-04
Dona Design,Lyon,69009,23 MONTEE DE L'OBSERVANCE,,,,à contacter,,,,NAF 32.13Z - SIREN 819711557 - créée 2018-03-10
Manufacto,Lyon,69009,44 RUE DE LA CLAIRE,,,,à contacter,,,,NAF 32.13Z - SIREN 834934036 - créée 2018-01-02
La Palme D Or,Lyon,69009,3 RUE DU MARCHE,,,,à contacter,,,,NAF 47.77Z - SIREN 312169063 - créée 1983-12-05
Terramama,Lyon,69009,20 B PL VALMY,,,,à contacter,,,,NAF 47.77Z - SIREN 908921463 - créée 2022-01-04
Marsselle,Dijon,21000,12 B BOULEVARD MONTAIGNE,,,,à contacter,,,,NAF 32.13Z - SIREN 951689199 - créée 2023-04-12
Marsselle,Dijon,21000,12 B BOULEVARD MONTAIGNE,,,,à contacter,,,,NAF 68.20A - SIREN 951689199 - créée 2023-09-01
Le M D Arilys,Dijon,21000,44 RUE MARGUERITE DURAND,,,,à contacter,,,,NAF 32.13Z - SIREN 791234867 - créée 2015-08-12
Le M D Arilys,Dijon,21000,25 BOULEVARD THIERS,,,,à contacter,,,,NAF 46.19B - SIREN 791234867 - créée 2019-10-11
Secula Marie,Dijon,21000,30 RUE VERRERIE,,,,à contacter,,,,NAF 58.14Z - SIREN 904048337 - créée 2021-10-07
Claudine Chapuis Fleury,Dijon,21000,RESIDENCE LES HAUTS CLOS 16 RUE DE CHENOVE,,,,à contacter,,,,NAF 32.13Z - SIREN 487454886 - créée 2014-05-05
Mayflower Creations,Dijon,21000,3 B RUE PIERRE LOTI,,,,à contacter,,,,NAF 32.13Z - SIREN 412977563 - créée 2014-08-12
Pauline Deyme,Dijon,21000,52 RUE DES FORGES,,,,à contacter,,,,NAF 32.13Z - SIREN 522567569 - créée 2012-01-01
Najette Bordji,Dijon,21000,45 RUE DE LA PREFECTURE,,,,à contacter,,,,NAF 32.13Z - SIREN 511309478 - créée 2015-03-01
Monique Yvonne Raymo Magnin (Monset),Dijon,21000,4 RUE DE LONGVIC,,,,à contacter,,,,NAF 32.13Z - SIREN 794063131 - créée 2013-07-06
Biancrea Bijoux,Dijon,21000,9 RUE LAMARTINE,,,,à contacter,,,,NAF 32.13Z - SIREN 848336483 - créée 2019-01-23
Steampunkdesign,Dijon,21000,22 RUE MARCEAU,,,,à contacter,,,,NAF 32.13Z - SIREN 881447429 - créée 2020-03-02
Romy Gueguen,Dijon,21000,DIJON 22 RUE JEAN DE CIREY,,,,à contacter,,,,NAF 32.13Z - SIREN 952725992 - créée 2023-10-01
Rode Maan Bijoux,Dijon,21000,7 B RUE DU CHAPEAU ROUGE,,,,à contacter,,,,NAF 32.13Z - SIREN 977675735 - créée 2023-07-10
Naturageol - Sarah Gommery,Dijon,21000,APPARTEMENT C23 19 RUE CAROLINE AIGLE,,,,à contacter,,,,NAF 32.13Z - SIREN 947521985 - créée 2024-09-01
C Resinement Fee,Dijon,21000,CHEZ MME SALADIN LYDIE 59 RUE DE GRAY,,,,à contacter,,,,NAF 32.13Z - SIREN 895181246 - créée 2021-02-08
Margaux Michelin,Dijon,21000,5 PLACE JACQUES PREVERT,,,,à contacter,,,,NAF 32.13Z - SIREN 909306656 - créée 2022-01-13
Gergana Art,Dijon,21000,52 BOULEVARD DE STRASBOURG,,,,à contacter,,,,NAF 32.13Z - SIREN 921874707 - créée 2023-01-02
Piu - 21 Bijoux,Dijon,21000,28 AVENUE JEAN JAURES,,,,à contacter,,,,NAF 32.13Z - SIREN 525288924 - créée 2024-08-01
Amandine Brunel,Dijon,21000,APT 103 1 MONTEE DE GUISE,,,,à contacter,,,,NAF 32.13Z - SIREN 528104136 - créée 2010-10-01
Francoise Aigueperse (Boisselon),Dijon,21000,13 RUE DU SANTENAY,,,,à contacter,,,,NAF 32.13Z - SIREN 504817883 - créée 2008-01-21
Patrick Forquy,Dijon,21000,17 RUE CAROLINE AIGLE,,,,à contacter,,,,NAF 32.13Z - SIREN 507791929 - créée 2011-11-01
Patrice Andre,Dijon,21000,24 RUE DES ARANDES,,,,à contacter,,,,NAF 32.13Z - SIREN 410113229 - créée 1996-11-01
Kali Ma Soul,Dijon,21000,5 ALLEE GUILLAUME APOLLINAIRE,,,,à contacter,,,,NAF 32.13Z - SIREN 942744574 - créée 2025-04-01
Au Fil Du Verre,Dijon,21000,4 RUE DE CHENOVE,,,,à contacter,,,,NAF 32.13Z - SIREN 927677336 - créée 2024-05-02
Lola Bouvet,Dijon,21000,32 RUE EDOUARD ESTAUNIE,,,,à contacter,,,,NAF 32.13Z - SIREN 953173820 - créée 2024-01-12
Cm-Photographe,Dijon,21000,10 B RUE LE NOTRE,,,,à contacter,,,,NAF 32.13Z - SIREN 989344106 - créée 2025-07-04
Le Jardin Des Nuages,Dijon,21000,41 QUAI FRANCOIS GALLIOT,,,,à contacter,,,,NAF 32.13Z - SIREN 831892294 - créée 2019-10-07
Laurence Blancfene (Moriat),Dijon,21000,26 RUE PHILIPPE LE HARDI,,,,à contacter,,,,NAF 32.13Z - SIREN 519296792 - créée 2010-01-07
Cottu / Une Botte,Dijon,21000,8 RUE ODEBERT,,,,à contacter,,,,NAF 32.13Z - SIREN 892983420 - créée 2021-02-01
Juliette Rodriguez Bijoux,Dijon,21000,29 RUE ALIX DE VERGY,,,,à contacter,,,,NAF 32.13Z - SIREN 852362268 - créée 2022-11-01
L'Artisaane,Dijon,21000,16 RUE DE COLMAR,,,,à contacter,,,,NAF 32.13Z - SIREN 883341042 - créée 2020-05-07
Les Trois Constellations,Dijon,21000,8 AVENUE KELLERMANN,,,,à contacter,,,,NAF 32.13Z - SIREN 901064980 - créée 2021-08-01
Quartzyrosie,Dijon,21000,37 RUE DE LARREY,,,,à contacter,,,,NAF 32.13Z - SIREN 918864620 - créée 2023-05-23
Cleor,Dijon,21000,88 GRAND MAIL CENTRE COMMERCIAL LA TOISON D'OR,,,,à contacter,,,,NAF 47.77Z - SIREN 413873670 - créée 2009-05-04
Rubis,Dijon,21000,CTRE CIAL TOISON D'OR 112 PLACE DES DUCS DE BOURGOGNE,,,,à contacter,,,,NAF 47.77Z - SIREN 413873670 - créée 2009-05-04
Pandora,Dijon,21000,CENTRE COMMERCIAL LA TOISON D'OR,,,,à contacter,,,,NAF 47.77Z - SIREN 531162709 - créée 2018-10-01
Louis Pion Sas,Dijon,21000,41 A 49 41 RUE DE LA LIBERTE,,,,à contacter,,,,NAF 47.77Z - SIREN 389756487 - créée 2009-12-01
Louis Pion,Dijon,21000,CENTRE COMMERCIAL LA TOISON D'OR,,,,à contacter,,,,NAF 47.77Z - SIREN 389756487 - créée 2013-09-16
Lovisa,Dijon,21000,C. C. LA TOISON D'OR-LOCAL E9 ROUTE DE LANGRES,,,,à contacter,,,,NAF 47.78C - SIREN 831208640 - créée 2020-08-13
Mauboussin,Dijon,21000,18 RUE MUSETTE,,,,à contacter,,,,NAF 47.77Z - SIREN 542106307 - créée 2016-08-29
The Swatch Group France Sa,Dijon,21000,19 RUE DU BOURG,,,,à contacter,,,,NAF 47.77Z - SIREN 542077391 - créée 2001-05-11
Swatch,Dijon,21000,54 RUE DE LA LIBERTE,,,,à contacter,,,,NAF 47.77Z - SIREN 542077391 - créée 2026-04-01
Swarovski,Dijon,21000,128 ALLEE DES ARGONAUTES CENTRE COMMERCIAL LA TOISON D'OR,,,,à contacter,,,,NAF 47.77Z - SIREN 732058698 - créée 2024-02-01
Agatha,Dijon,21000,14-16 14 RUE DU BOURG,,,,à contacter,,,,NAF 47.78C - SIREN 828378570 - créée 2021-02-27
Agatha,Dijon,21000,13 ROND-POINT DE LA NATION,,,,à contacter,,,,NAF 47.78C - SIREN 828378570 - créée 2021-02-27
Maty,Dijon,21000,13 RUE DES FORGES,,,,à contacter,,,,NAF 47.77Z - SIREN 402327597 - créée 1999-08-23
Maty,Dijon,21000,LA TOISON D'OR ROUTE DE LANGRES,,,,à contacter,,,,NAF 47.77Z - SIREN 402327597 - créée 2018-11-07
Apm Monaco,Dijon,21000,82 RUE DE LA LIBERTE,,,,à contacter,,,,NAF 47.77Z - SIREN 804354264 - créée 2022-07-01
Goldunion,Dijon,21000,18 RUE PIRON,,,,à contacter,,,,NAF 47.77Z - SIREN 954080818 - créée 2026-05-01
L'Or Et Vous,Dijon,21000,LOCAL 109-1    1ER ETAGE CENTRE COMMERCIAL LA TOISON D'OR,,,,à contacter,,,,NAF 47.77Z - SIREN 492475066 - créée 2006-11-01
"Godot Dijon, Godot & Fils Dijon",Dijon,21000,70 RUE DE LA LIBERTE,,,,à contacter,,,,NAF 66.12Z - SIREN 825021249 - créée 2024-01-12
Fossil,Dijon,21000,NIVEAU 0 - LOCAL E26 CENTRE COMMERCIAL LA TOISON D'OR,,,,à contacter,,,,NAF 47.77Z - SIREN 500710702 - créée 2013-08-15
Bijouterie Dijon 4X,Dijon,21000,CENTRE COMMERCIAL TOISON D'OR ROUTE DEPARTEMENTALE 905,,,,à contacter,,,,NAF 47.77Z - SIREN 999197361 - créée 2026-03-01
Bijouterie Gautheron,Dijon,21000,61 RUE DE LA LIBERTE,,,,à contacter,,,,NAF 47.77Z - SIREN 017150467 - créée 1971-01-01
Dijor,Dijon,21000,11 RUE CHARRUE,,,,à contacter,,,,NAF 47.77Z - SIREN 378499909 - créée 1990-05-15
Horlogerie Bijouterie Des Merveilles,Dijon,21000,14 RUE CREBILLON,,,,à contacter,,,,NAF 47.77Z - SIREN 342513082 - créée 1987-09-01
Dominique Carry,Dijon,21000,69 RUE JEAN-JACQUES ROUSSEAU,,,,à contacter,,,,NAF 47.77Z - SIREN 320147028 - créée 1980-10-01
Andre Ferney,Dijon,21000,25 PLACE BOSSUET,,,,à contacter,,,,NAF 47.77Z - SIREN 326354438 - créée 1983-01-19
Pasternak,Dijon,21000,84 RUE DE LA LIBERTE,,,,à contacter,,,,NAF 47.77Z - SIREN 813491222 - créée 2015-05-01
Ez Gold Dijon,Dijon,21000,10 PLACE DU THEATRE,,,,à contacter,,,,NAF 47.77Z - SIREN 991801986 - créée 2025-09-19
Borde Joaillier,Dijon,21000,ET 4 2 RUE RAMEAU,,,,à contacter,,,,NAF 47.77Z - SIREN 017150921 - créée 1976-09-11
Sylvain Petit,Dijon,21000,5 RUE CONDORCET,,,,à contacter,,,,NAF 47.77Z - SIREN 480401751 - créée 2005-01-04
Yuan,Dijon,21000,6 RUE VAUBAN,,,,à contacter,,,,NAF 47.77Z - SIREN 484148374 - créée 2020-05-20
Gatin,Dijon,21000,2 RUE PIRON,,,,à contacter,,,,NAF 47.77Z - SIREN 323719435 - créée 1982-01-01
Saint Aubin Pere Et Fils,Dijon,21000,6 PLACE GRANGIER,,,,à contacter,,,,NAF 47.77Z - SIREN 327036174 - créée 1983-03-18
Joaillerie Philippe Todesco,Dijon,21000,12 PLACE DES DUCS DE BOURGOGNE,,,,à contacter,,,,NAF 47.77Z - SIREN 539664748 - créée 2011-07-01
